Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
29	60.962856	68.71521	352.80685	8.215604	178.26923	32.964256	8.393288	49.682526	-1.1636178	18000	0.0	3848.1611	-0.032117248	-255.41704	1.3396835	0.058276445	0.42	611.9766314029694
30	36.034046	30.195017	139.05397	10.261632	178.93103	57.4242	10.956468	83.34449	4.9338627	18600	7.947286e-08	1241.4503	-0.054477077	-505.90125	1.2557529	0.054201234	0.3516667	636.7537865638733
31	35.02601	26.77385	146.92625	9.50897	177.73077	38.444088	6.439845	55.52054	23.768475	19200	-5.9604645e-08	511.39975	-0.051668752	-19.927643	1.0577266	0.048932806	0.29666665	662.6391973495483
32	37.226006	43.183445	238.73108	7.676161	175.73077	24.756813	4.184501	37.0985	11.502733	19800	2.9802322e-08	1483.8553	-0.030501345	-77.95105	1.045078	0.046817124	0.335	686.1010208129883
33	42.776295	48.993523	269.29697	9.206859	178.44	39.489746	6.1701717	55.101727	22.293955	20400	0.0	1803.3214	-0.029643789	-92.91732	0.97341394	0.047674626	0.32333332	710.5591588020325
34	32.428135	19.248955	97.51897	11.995063	178.46153	38.35745	7.1167564	57.16062	14.916954	21000	6.7055225e-08	397.9117	-0.021164773	-83.58107	0.8981059	0.047660965	0.30666664	735.4083068370819
35	53.816917	83.92888	398.1246	8.202354	175.0	30.49718	7.5153947	52.71714	7.482666	21600	-1.9868216e-08	5532.5664	-0.022295855	-260.1722	0.85951656	0.048011065	0.29666668	759.3935554027557
36	32.866432	19.05831	73.33782	8.212608	178.11111	52.42189	8.8493185	77.067276	13.0634365	22200	9.934107e-08	698.79865	-0.050642755	-346.81186	0.89574546	0.05583885	0.31833336	785.1815133094788
37	62.804443	99.455826	563.7692	8.711565	179.03448	27.870567	5.4528418	41.830303	5.0729914	22800	7.4505806e-08	4058.584	-0.0061083916	-427.6001	0.8697093	0.049122553	0.31833333	810.5815424919128
38	32.639244	16.490059	76.764465	10.569135	178.92308	51.265438	8.691252	72.27386	21.1039	23400	-9.934108e-09	670.11176	-0.054586887	-35.75694	0.8262163	0.05188909	0.32500002	836.3256919384003
39	50.002583	29.048164	103.04541	10.241063	178.60715	45.12604	9.226492	69.95002	27.095966	24000	-3.973643e-08	656.5603	-0.046044707	-44.61009	0.74194366	0.055966873	0.25833336	862.5438814163208
40	39.298004	26.427198	109.59763	11.642779	179.07143	46.667755	7.6126356	65.32335	14.106754	24600	1.9868216e-08	716.31573	-0.030237742	-108.71377	0.7018998	0.057630494	0.3216667	888.1289834976196
41	65.72839	95.92954	494.38223	9.494273	177.38461	35.02683	4.2425604	46.742634	16.80375	25200	-2.4835268e-08	5798.8667	-0.020382328	-302.38852	0.53657883	0.054853637	0.21999998	914.1557202339172
42	53.644337	35.09021	174.1464	13.523763	177.3	46.85104	6.613146	64.55362	25.114239	25800	9.934108e-09	695.2702	-0.034288134	-23.797659	0.51037484	0.04935457	0.2	940.1720407009125
43	65.33258	71.87857	404.94632	12.03516	176.41379	43.373886	4.9352846	57.401047	20.497362	26400	2.9802322e-08	4172.2354	-0.015637442	-152.59674	0.39873067	0.043375637	0.175	966.8467848300934
44	62.17973	43.18634	224.42694	16.086195	178.2069	60.44508	4.271977	75.38456	51.361156	27000	1.3659398e-08	1550.4579	-0.028743649	-12.201518	0.40485942	0.04116636	0.16666667	993.7918562889099
45	68.95259	70.768326	408.76956	15.134316	177.25	53.69603	5.447257	77.67817	36.68534	27600	2.4835268e-08	4161.6006	-0.017623695	-125.08887	0.39640352	0.05023867	0.205	1020.6802749633789
46	134.53647	183.16422	971.5028	21.725721	177.17857	74.203415	7.173582	106.55322	41.01426	28200	-9.934108e-09	30391.553	-0.017654615	-2313.7915	0.27488026	0.032629233	0.14666668	1046.5685813426971
47	147.40869	174.38496	803.85876	15.311059	177.0	113.14612	12.403934	152.10455	88.30213	28800	-1.9868216e-08	23157.697	-0.015141836	-843.9012	0.27544096	0.050498758	0.22333331	1071.5662858486176
48	193.33398	275.91348	913.148	17.350386	176.0	129.8439	21.446896	224.06071	84.23756	29400	-2.9802322e-08	55479.453	-0.01949762	-3864.7913	0.3183062	0.046128154	0.14833333	1096.8614904880524
49	344.11395	314.68558	918.7502	13.3052225	178.0	181.4943	45.362217	324.41888	121.3374	30000	4.9670536e-08	96944.77	-0.018595042	-24083.701	0.2140581	0.052491035	0.13666667	1122.6283519268036
50	548.10297	343.72116	962.3851	22.913181	177.88461	377.13306	85.05902	604.49225	249.19127	30600	-4.4703484e-08	92224.94	-0.022972137	-15543.402	0.11729836	0.046130612	0.07	1147.5447597503662
51	513.58264	330.5052	975.5497	17.69815	177.42857	596.97864	89.70603	832.09753	381.7344	31200	-4.967054e-09	89634.54	-0.017486723	-16178.192	0.08121251	0.055666465	0.068333335	1172.117372751236
52	651.16174	258.50824	965.32025	39.733727	177.8077	426.33813	36.812233	516.42737	224.61183	31800	-1.4901161e-07	65868.97	-0.009703134	-19549.254	0.035727363	0.050246898	0.065	1196.7033967971802
53	511.8487	358.73422	962.6822	27.075296	178.32143	560.37585	80.85956	729.80634	272.45126	32400	9.934108e-09	97920.24	-0.0196794	-9956.044	0.18396346	0.06578922	0.13833334	1220.8319523334503
54	585.9591	321.53226	970.73413	10.389528	178.23077	533.7366	79.702126	675.0419	227.33376	33000	3.7252903e-08	44178.2	-0.01769138	-3132.5989	0.09158671	0.05411896	0.041666668	1245.107276916504
55	686.56635	248.75139	975.16113	43.278263	177.53334	607.6621	85.50829	801.23267	422.61197	33600	1.9868216e-08	44355.22	-0.013011103	-3212.443	0.056785405	0.03531667	0.03833333	1269.9040222167969
56	723.0281	239.59044	976.3737	16.82212	177.84616	591.69073	59.09042	657.31934	119.93448	34200	5.9604645e-08	32366.094	-0.01146301	-3481.0918	0.050042707	0.044485908	0.06666667	1294.5686666965485
