Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
0	40.166668	48.074303	111.0	1.0	2366.3333	0.9909541	0.38381848	2.391499	-0.29666394	2400	-0.03652109	416.16525	-0.018377146	-78.467964	3.652111	0.10623702	0.6325	124.68484115600586
1	33.2	47.07611	108.0	0.0	1613.3	9.089081	2.2431054	16.167883	2.5078027	4800	-0.034867663	486.50903	-0.013694647	-28.697159	3.4867704	0.07298248	0.60208327	249.5371115207672
2	22.5	39.051888	101.0	0.0	1620.5	12.73121	2.407874	20.049538	3.3995903	7200	-0.03192775	280.49954	0.013584752	-49.451965	3.1927783	0.12562911	0.7020833	372.92200565338135
3	61.545456	51.921906	113.0	0.0	1605.2727	5.2066054	1.1316842	8.662852	1.0584434	9600	-0.029250184	1023.68097	0.026524613	-206.7854	2.9250221	0.08428219	0.66125	504.3857035636902
4	93.44444	31.077362	110.0	6.0	1578.8889	26.693642	7.458312	42.165543	3.7654445	12000	-0.028015926	745.6816	-0.07001854	-69.94753	2.801593	0.049022287	0.40666667	628.0302431583405
5	50.272728	51.895157	112.0	0.0	1628.7273	30.264805	5.7992907	45.73545	5.1053243	14400	-0.026265219	674.27814	-0.082391225	-108.34899	2.6265216	0.043220777	0.47124997	767.0955531597137
6	31.545454	46.871902	110.0	0.0	1679.7273	16.667608	2.577727	27.19753	7.450856	16800	-0.026636377	498.63815	-0.062314134	-22.945223	2.6636364	0.042600393	0.39208332	907.5828740596771
7	42.75	49.869205	113.0	0.0	1542.375	15.589834	3.819621	29.855183	6.0500927	19200	-0.027519455	439.9464	-0.06678551	-28.50297	2.7519462	0.051996272	0.4666667	1044.828101158142
8	38.25	47.567715	109.0	0.0	1515.4166	14.389964	3.2640533	24.379297	5.0923142	21600	-0.026771337	537.82416	-0.067953326	-36.745144	2.677131	0.044869047	0.38375	1205.361032962799
9	30.25	46.69248	111.0	0.0	1785.125	14.784525	4.6266103	34.77924	5.4604673	24000	-0.027073452	352.067	-0.06194195	-32.96861	2.7073452	0.04689702	0.39166665	1343.7196447849274
