Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
29	43.790005	37.66489	214.1709	9.407613	187.41667	40.506863	13.781325	68.02847	1.372868	36000	1.1175871e-08	887.8757	0.0039343536	-53.61688	0.6489297	0.0073674624	0.10666666	965.4122834205627
30	42.79876	36.13801	211.04446	7.124094	191.6	30.381397	17.29685	60.31196	-5.354991	37200	-7.4505806e-08	969.73456	-0.0045597753	-64.041954	0.56732893	0.017932476	0.17083333	1000.1611030101776
31	42.683697	41.460484	242.81183	5.6186504	184.74286	43.66242	18.367418	74.06573	9.338705	38400	-2.4835268e-08	966.0408	-0.009183288	-43.095272	0.5960922	0.0055877143	0.08083333	1037.4110963344574
32	37.7068	41.091923	179.41475	7.5018067	191.83784	27.157944	15.319978	61.04227	-1.9059759	39600	7.947286e-08	854.9692	-0.0071615935	-43.702423	0.55370146	0.0039343624	0.048333336	1071.0320663452148
33	52.086742	59.488014	309.42783	10.361195	188.075	45.618294	13.793019	65.56619	10.829793	40800	7.947286e-08	2376.0237	-0.0065462864	-26.790527	0.674804	0.0117293	0.093333334	1105.674233198166
34	29.904964	24.968262	116.37852	4.0087976	190.63158	37.46472	18.725006	75.55946	12.456929	42000	3.973643e-08	412.99698	-0.0074723065	-88.111046	0.5823302	0.009311133	0.1425	1139.721916437149
35	38.78871	37.236416	233.43378	5.9127555	188.68292	35.41514	13.945019	59.839153	-8.283356	43200	1.4901161e-08	446.2997	-0.0044806446	-65.05851	0.59458286	0.0039555957	0.0425	1174.1971509456635
36	33.665096	30.059034	159.12639	4.830508	188.97437	27.97566	12.817701	52.06054	-11.120715	44400	7.947286e-08	435.30045	-0.00650158	-61.184315	0.5639542	0.0065015196	0.07583333	1209.048000574112
37	55.84884	89.588905	545.99426	4.0806317	188.3421	32.956356	12.320082	53.82342	-12.3503475	45600	-2.4835268e-08	5782.182	-0.0036124077	-171.28716	0.5313687	0.0026034142	0.029166667	1243.0822298526764
38	51.095066	35.021816	141.71893	10.63389	186.8421	44.584633	6.1161346	63.15363	30.566317	46800	6.953875e-08	757.263	-0.010037241	-25.769922	0.6113774	0.0067890044	0.090833336	1276.8547801971436
39	49.93751	50.42133	282.11	7.4186497	185.92105	40.062416	11.45321	67.624985	18.2493	48000	0.0	1841.0391	-0.0002074192	-205.94115	0.5863604	0.0127219185	0.20833333	1310.8196897506714
40	36.349495	45.306244	239.02109	5.7120743	189.4762	35.373096	13.949128	64.8075	2.9459422	49200	2.483527e-09	1270.5586	-0.0059985355	-13.528148	0.6074708	0.0024387278	0.025	1345.682052373886
41	64.784096	104.37869	632.16	8.299461	186.86111	44.36222	12.285886	72.36774	13.697761	50400	4.4703484e-08	7788.4004	-0.002674715	-238.1797	0.51416665	0.0061129867	0.105	1378.5467994213104
