Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
0	1.7091736	9.105974	13.894805	-10.0	169.64285	0.35671917	0.44905674	1.4253128	-1.0686629	600	0.0	52.161457	-0.051326055	-31.080011	3.6316402	0.20596892	0.76500005	19.077327489852905
1	5.8715715	7.6574683	30.316639	-10.0	197.5	-0.21696159	3.930418	10.677658	-8.879546	1200	-1.4901161e-08	58.145252	-0.026325675	-36.942554	3.3410683	0.11291803	0.6666667	38.293726205825806
2	6.7834597	3.1060696	14.299997	3.4845273	209.8	4.83446	2.2866035	12.686956	-4.329744	1800	0.0	14.455123	-0.033912417	-7.5944915	2.809306	0.061552968	0.5466667	56.55194091796875
3	5.7237573	2.8354123	17.099503	3.397919	210.5	6.8890934	1.6454152	15.551627	3.0450997	2400	6.953875e-08	8.039323	-0.039319724	-5.4398327	2.7372406	0.048645824	0.495	74.02282643318176
4	4.3735533	8.121893	23.702423	-10.0	190.82353	5.9943852	1.4343427	17.843042	3.4746628	3000	-1.9868216e-08	54.183533	-0.024665145	-15.395004	2.6532946	0.08310718	0.70166665	91.78679490089417
5	-2.628395	12.704556	36.306675	-10.0	133.75	4.1006722	0.7748569	6.957833	1.3022662	3600	0.0	121.24194	-0.09329325	-48.282185	2.6144438	0.06613371	0.5466667	107.47072219848633
6	1.1641694	12.3952265	30.48972	-10.0	156.0	-2.6753857	1.0510162	-0.7691521	-6.9282465	4200	-1.4901161e-08	104.69343	-0.1133251	-15.133784	2.5737615	0.05639541	0.5283333	126.53326392173767
7	-1.0793123	8.986082	10.920573	-10.0	155.8125	-0.46805492	0.4956003	0.98506457	-1.7299505	4800	-9.934108e-09	44.71466	-0.12389884	-8.433643	2.6090064	0.05103156	0.54333335	145.0444450378418
8	2.0491729	8.541525	14.706504	-10.0	176.3158	0.38753894	1.0055777	3.0313826	-2.6464422	5400	1.9868216e-08	48.002323	-0.09968788	-15.161797	2.5514927	0.047135223	0.5133333	164.35936498641968
9	4.60825	5.728373	11.894823	-10.0	198.88235	2.9752872	2.6122713	8.0906105	-6.319532	6000	4.4703484e-08	25.627295	-0.08857056	-9.464835	2.3621998	0.04602127	0.44833335	182.16684365272522
10	6.902817	7.4511533	25.34828	-10.0	196.85715	4.001321	0.90047705	6.5447245	-0.50732535	6600	-2.4835268e-08	55.093716	-0.093779095	-9.968232	2.4386017	0.047454137	0.475	205.03811693191528
11	6.184512	6.4723825	13.869399	-10.0	194.0	6.5333357	1.3254584	10.388032	2.7370224	7200	-1.9868216e-08	37.123493	-0.089173906	-9.974476	2.3723505	0.0501354	0.4883333	228.4691984653473
12	11.557161	6.8468103	38.369915	5.4518394	205.55	6.1638966	1.9230969	12.772337	2.803637	7800	-2.4835268e-08	53.779434	-0.0729773	-15.091011	2.4321618	0.04590687	0.49833333	252.66133284568787
13	8.22813	5.289567	19.608412	-10.0	201.19048	9.685411	2.5473096	16.720982	4.2281537	8400	0.0	31.101517	-0.090027094	-12.174255	2.3184483	0.049916968	0.4983333	275.3001654148102
14	8.474567	3.4187596	20.116114	4.3685694	204.89473	7.164502	1.8713143	13.669785	2.5845087	9000	7.947286e-08	8.266313	-0.091150545	-1.1611973	2.276837	0.060456943	0.52833337	296.7328088283539
15	11.168763	13.608357	74.159	4.6256137	203.45833	6.5155573	1.4983573	11.7029915	3.153247	9600	8.940697e-08	186.97661	-0.049681384	-21.339712	2.3114393	0.047198515	0.40166667	318.36029291152954
16	9.060034	2.1828432	14.318846	6.0085025	206.85	12.4709015	2.1245878	20.750154	8.824752	10200	-1.8626451e-08	21.633036	-0.092285596	-12.67186	2.2491207	0.054879714	0.495	341.6175284385681
