Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
29	17.480556	12.361922	67.723434	7.69372	143.55173	12.897905	2.2281353	20.559654	6.5169373	27000	2.9802322e-08	118.95756	-0.07394071	-11.406993	2.3566325	0.054173935	0.46222222	765.7613360881805
30	14.935086	11.6068125	50.621834	5.8849463	145.53572	14.772094	2.796875	23.464622	8.405971	27900	9.934108e-09	93.18368	-0.084284365	-9.784633	2.3136902	0.048367184	0.45555556	792.4467625617981
31	12.441347	7.549317	41.721985	5.5768075	144.44827	13.121879	2.5258813	21.419622	5.7962427	28800	-4.0978193e-08	46.84781	-0.083157115	-7.8161817	2.334017	0.045490544	0.4311111	817.9184305667877
32	21.860435	20.322428	105.33954	5.087586	143.23334	9.66859	1.3639892	14.754316	2.7984376	29700	2.4835268e-08	367.80066	-0.063698485	-79.57668	2.2944348	0.05491753	0.4522222	845.2918930053711
33	15.101689	10.202713	44.26642	4.806555	142.21428	20.880083	2.9095144	28.188517	9.095763	30600	-1.09275184e-07	135.87323	-0.084192984	-46.471985	2.1711872	0.05430493	0.46555555	871.8279211521149
34	15.465661	13.614535	76.091415	-10.0	139.30302	15.871269	2.058439	21.471767	6.5993977	31500	-1.9868216e-08	143.51814	-0.06887293	-6.271444	2.062688	0.054214675	0.42777777	902.0599145889282
35	12.111692	6.432062	27.878876	5.9531646	141.67741	12.4587965	1.9550096	20.989971	4.8234315	32400	3.4769375e-08	30.744507	-0.080786675	-3.4112082	1.9103173	0.05360048	0.45777777	929.853113412857
36	18.078135	20.819847	105.93632	-10.0	142.96	8.856996	1.8738768	16.200905	2.6680505	33300	2.9802322e-08	311.60605	-0.04951945	-25.42793	1.9471182	0.0530393	0.46777782	959.1730771064758
37	16.950312	10.349384	42.85553	6.485968	139.25	16.164677	3.1048646	26.555197	9.640556	34200	2.9802322e-08	79.92264	-0.077207714	-5.575306	1.656858	0.04799741	0.38666666	987.0639731884003
38	23.811634	18.949743	93.722206	6.6271605	141.12903	12.544944	2.1298609	22.225441	5.902796	35100	-2.9802322e-08	356.33862	-0.048346113	-57.809948	1.4982234	0.04941149	0.37555555	1015.9982008934021
39	28.799921	38.87221	204.26399	7.0959406	140.89285	23.544657	4.1797566	35.419704	7.8165975	36000	9.934108e-09	947.3848	-0.04362042	-45.437134	1.5946144	0.04594471	0.34555554	1042.7787506580353
40	33.93479	46.522823	227.62694	-10.0	137.3871	24.937117	5.9366035	52.44402	10.459294	36900	-2.9802322e-08	1583.414	-0.04576889	-77.11279	1.3722801	0.050029755	0.38555554	1072.1580700874329
41	21.855274	22.13702	141.01625	8.295166	139.54546	30.122955	5.9209495	48.745934	9.379404	37800	-9.934108e-09	404.0978	-0.053429857	-136.50743	1.3896013	0.060932636	0.39222226	1101.7291748523712
42	38.651268	44.714703	192.90431	6.775898	140.26666	14.940722	3.4943657	29.098692	3.8759866	38700	6.953875e-08	1703.2358	-0.03878263	-307.32816	1.3090243	0.04898422	0.33666667	1129.6386444568634
43	21.40474	33.890366	212.91847	8.378993	138.91176	35.961117	7.076089	63.750565	13.525779	39600	0.0	1182.4108	-0.03577334	-9.657435	1.0983056	0.046411026	0.2722222	1159.040693283081
44	20.682598	10.997817	54.27189	6.9119287	139.25807	34.18522	6.6539516	56.83378	10.406563	40500	-5.9604645e-08	345.54593	-0.0662038	-207.34778	1.0163153	0.05313496	0.29222223	1187.4861526489258
45	17.150812	9.990452	47.859753	5.433081	136.9	16.041569	2.78018	26.156878	4.272726	41400	4.967054e-09	75.2209	-0.052898422	-7.306071	0.9669921	0.055619095	0.23777778	1214.2662363052368
46	27.05655	24.990368	120.13806	7.2290163	136.8125	15.37496	2.9099321	23.922802	3.4810326	42300	-9.934108e-09	496.68326	-0.03450833	-46.34547	0.95280045	0.05238068	0.24666667	1244.3093569278717
47	16.786188	11.509534	44.388157	-10.0	134.96552	27.701128	4.949253	43.50176	9.34289	43200	1.7384687e-08	228.2256	-0.056036234	-117.951256	0.761616	0.052094083	0.26666665	1270.755034685135
48	24.545965	20.573427	123.17606	8.328011	137.21213	19.27655	3.232286	30.493616	8.886085	44100	-4.967054e-09	104.383606	-0.024025494	0.45729256	0.7394735	0.046366867	0.21777779	1300.3129563331604
49	39.87162	48.395798	223.63206	8.593138	138.60606	18.357155	2.538054	26.580421	12.8134365	45000	9.934108e-09	1895.7426	-0.023993246	-215.76886	0.61908424	0.04855818	0.19222224	1330.7101261615753
50	31.289022	22.812248	108.29995	5.770962	138.51515	37.472733	5.905957	52.944584	12.837862	45900	0.0	454.4609	-0.046087373	-64.73997	0.6259655	0.046079714	0.22888888	1360.2075617313385
51	29.841587	30.481194	142.1928	7.208045	138.33333	30.477503	4.8982263	44.968613	19.9127	46800	1.9868216e-08	727.8457	-0.028836727	-10.305095	0.5933828	0.053162158	0.21555555	1391.070729970932
52	33.41482	17.94144	78.448204	12.441471	138.06451	23.614998	2.3529284	31.617008	16.525599	47700	-9.934108e-09	275.90652	-0.046070974	-17.350584	0.62914807	0.049678657	0.23777777	1419.844195842743
53	27.612778	39.316544	237.24594	7.337374	136.5625	32.537876	3.597817	42.03033	13.242598	48600	-2.2351742e-08	1247.0353	-0.023760958	-42.259148	0.7018859	0.05021596	0.19777776	1450.2061371803284
54	25.870377	14.570842	74.44672	7.767862	136.36363	23.94241	2.422489	34.968384	17.289206	49500	-3.973643e-08	151.55408	-0.051146757	-9.567704	0.6446771	0.053750683	0.22888888	1480.6400063037872
55	24.616909	30.582352	176.26132	8.181088	137.26666	21.737263	2.9823782	39.05785	14.466221	50400	0.0	664.4505	-0.019815683	-12.70947	0.6061799	0.056644004	0.1988889	1507.3199789524078
56	50.391468	54.600372	184.03358	6.1500545	138.41936	22.92594	3.9945228	41.61152	11.653333	51300	-1.9868216e-08	2410.0444	-0.022926345	-398.52417	0.4643065	0.051234435	0.18888889	1536.3112449645996
57	61.77799	74.55318	305.8642	8.76698	135.61765	43.124653	9.5748205	80.91688	11.527304	52200	-3.7252903e-09	3412.616	-0.015687991	6.584666	0.34362367	0.048784506	0.12777777	1568.1534197330475
58	39.44565	54.899437	185.38126	7.5633435	138.45161	55.26565	14.066368	99.3391	24.017378	53100	2.4835268e-08	2525.6677	-0.011866663	-440.34497	0.17772193	0.01649294	0.09222222	1599.4653689861298
59	49.524315	55.657578	223.52312	11.074575	136.0303	31.772877	6.7996187	51.62003	13.822662	54000	0.0	2535.3972	-0.00719556	-147.3175	0.18925281	0.020548733	0.064444445	1630.600367307663
60	46.681114	63.42885	218.28606	5.7263823	136.53125	40.621815	6.0632515	52.358448	10.162269	54900	-1.9868216e-08	3019.7207	-0.007220438	-10.75291	0.18761499	0.023908243	0.083333336	1662.7497596740723
61	47.628216	72.62892	296.86816	5.6030846	136.8	42.00527	5.2203026	51.22388	23.139553	55800	0.0	3642.3293	-0.0058237887	-26.283255	0.13669355	0.01510517	0.043333333	1691.0812458992004
62	54.04962	63.925167	213.90536	5.6120377	135.6875	43.866867	7.338427	59.032578	17.721796	56700	-3.1044085e-09	3039.1387	-0.0060194675	-42.844074	0.18202375	0.012756427	0.06888888	1721.61377286911
63	27.355972	33.865562	180.55219	5.7129993	136.84848	47.146454	7.191885	68.66297	19.52099	57600	-4.967054e-09	1329.5023	-0.009605532	-500.4751	0.2255339	0.02976571	0.07666667	1754.0871856212616
